Qunatidade Participantes;ID_PESQUISA;Duration..in.seconds.;RecordedDate;UserLanguage;Dem_age;Dem_gender;Dem_edu;Dem_edu_mom;Dem_employment;Country;Dem_Expat;Dem_state;Dem_maritalstatus;Dem_dependents;Dem_riskgroup;Dem_islolation;Dem_isolation_adults;Dem_isolation_kids;Comentarios
129;11823;732;22/04/2020 21:23;PT-BR;30;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;São Paulo;Single;0;Yes;Life carries on with minor changes;1;0;NA
130;11834;1251;22/04/2020 21:47;PT-BR;40;Female;PhD/Doctorate;Up to 12 years of school;Self-employed;Brazil;no;São Paulo;Married/cohabiting;NA;Yes;Isolated;3;1;NA
131;11841;1213;21/04/2020 20:20;PT-BR;64;Female;College degree, bachelor, master;Up to 6 years of school;Self-employed;Brazil;no;Sao Paulo;Divorced/widowed;0;Yes;Isolated;1;0;NA
132;11861;960;21/04/2020 18:56;PT-BR;37;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;São Paulo;Married/cohabiting;1;Yes;Isolated;1;1;NA
133;11888;1563;21/04/2020 16:40;PT-BR;36;Female;NA;Up to 12 years of school;Full time employed;Brazil;no;São Paulo;Married/cohabiting;0;Yes;Isolated;1;0;NA
134;11894;1298;21/04/2020 15:36;PT-BR;43;Female;PhD/Doctorate;Up to 9 years of school;Full time employed;Brazil;no;Bahia;Married/cohabiting;0;Yes;Isolated;1;0;NA
135;11895;1024;21/04/2020 15:31;PT-BR;51;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;3;Yes;Life carries on with minor changes;5;0;Tenho me dedicado a meus hobbies, como: jardinagem, pintura óleo sobre tela e costura. Na costura, tenho feito máscaras e distribuídos a familiares e pessoas próximas. Isso ajuda a distrair, relaxar e traz o sentimento   de estar contribuindo para o bem estar de todos.
136;11901;622;21/04/2020 14:58;PT-BR;33;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;RS;Married/cohabiting;1;Yes;Life carries on with minor changes;1;0;NA
137;11903;4754;21/04/2020 16:03;PT-BR;35;Female;PhD/Doctorate;College degree;Full time employed;Brazil;no;Pará;Married/cohabiting;0;Yes;Isolated;1;0;NA
138;11924;3017;22/04/2020 14:15;PT-BR;23;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
