Qunatidade Participantes;ID_PESQUISA;Duration..in.seconds.;RecordedDate;UserLanguage;Dem_age;Dem_gender;Dem_edu;Dem_edu_mom;Dem_employment;Country;Dem_Expat;Dem_state;Dem_maritalstatus;Dem_dependents;Dem_riskgroup;Dem_islolation;Dem_isolation_adults;Dem_isolation_kids;Comentarios
412;49208;2092;05/04/2020 15:25;PT-BR;58;Male;College degree, bachelor, master;Up to 9 years of school;Retired;Brazil;no;Bahia;Married/cohabiting;0;Yes;Isolated;1;0;"O que me deixa irritado é o fato de saber que muitos ainda não se deram conta do real problema que estamos passando. Por muitos o isolamento social está sendo encarado como ""férias"". Claro que a insegurança relacionada ao futuro me atinge, mas procuro pensar nas coisas positivas que esta pandemia poderá gerar, acredito que o Planeta melhorará em alguns aspecto e que novos dias virão, apesar de temer que parentes que muito amo e que estejam no grupo de risco sejam vítimas deste vírus."
413;49296;1153;06/04/2020 14:49;PT-BR;57;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Part time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;0;Yes;Life carries on with minor changes;NA;NA;NA
414;49361;588;06/04/2020 14:25;PT-BR;55;Female;College degree, bachelor, master;Up to 9 years of school;Self-employed;Brazil;no;Rio de Janeiro;Divorced/widowed;1;Yes;Isolated;1;0;NA
415;49366;630;05/04/2020 14:24;EN;26;Female;College degree, bachelor, master;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;4;0;NA
416;49445;762;06/04/2020 14:11;PT-BR;59;Female;Up to 9 years of school;Up to 6 years of school;Self-employed;Brazil;no;Rj;Divorced/widowed;NA;Yes;Isolated;0;0;NA
417;49554;1015;05/04/2020 13:55;PT-BR;49;Male;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Life carries on with minor changes;1;0;NA
418;49704;654;06/04/2020 13:27;PT-BR;43;Female;PhD/Doctorate;Up to 9 years of school;Full time employed;Brazil;no;RJ;Married/cohabiting;0;Yes;Isolated;1;0;NA
419;49767;768;05/04/2020 13:16;PT-BR;24;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Sao paulo;Single;0;Yes;Life carries on with minor changes;4;0;NA
420;49831;693;05/04/2020 13:05;PT-BR;35;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;1;Yes;Isolated;1;0;NA
421;49844;420;06/04/2020 12:59;PT-BR;37;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;NA;RS;Married/cohabiting;0;Yes;Isolated;1;0;NA
422;49965;1261;06/04/2020 12:52;PT-BR;48;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Rio de janeiro;Married/cohabiting;1;Yes;Isolated;5;0;NA
423;50071;1261;05/04/2020 12:36;PT-BR;57;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;Rio de janeiro;Married/cohabiting;1;Yes;Isolated;2;1;A percepção de que a solidariedade entre as pessoas está aumentando aumenta o meu bem-estar.
424;50094;646;06/04/2020 12:22;PT-BR;25;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;NA
425;50103;774;05/04/2020 12:22;PT-BR;58;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;1;Yes;Isolated;3;0;NA
426;50118;762;05/04/2020 12:20;PT-BR;50;Male;Up to 12 years of school;College degree;Self-employed;Brazil;yes;Minas Gerais;Married/cohabiting;4;Yes;Life carries on with minor changes;4;0;NA
427;50251;1161;05/04/2020 12:03;PT-BR;40;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Life carries on with minor changes;1;0;NA
428;50786;7405;05/04/2020 12:11;PT-BR;45;Female;Some College, short continuing education or equivalent;None;Full time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;2;Yes;Life carries on with minor changes;1;1;NA
429;51417;1401;05/04/2020 09:03;PT-BR;31;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;4;0;O que mais esta me afetando é não poder trabalhar e com isso não irei receber  Tive que trancar a matricula da minha segunda graduação  Infelizmente se não morrer de coronavírus vamos morrer de fome pois com ajuda do governo ou pagamos contas ou compramos alimentação
430;51545;1510;05/04/2020 08:47;PT-BR;31;Female;College degree, bachelor, master;Up to 9 years of school;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Isolated;1;1;NA
431;51707;1194;05/04/2020 08:21;PT-BR;32;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;RJ;Single;3;Yes;Life carries on with minor changes;2;0;O perigo a que estamos expostos caso o país entre em um descontrole quanto a nossa segurança, saúde e bem estar.
432;51726;3549;05/04/2020 08:58;EN;41;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;yes;Minas Gerais;Single;0;No;Isolated;1;0;NA
433;51818;1529;05/04/2020 08:10;PT-BR;41;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de janeiro;Married/cohabiting;0;Yes;Life carries on with minor changes;1;0;NA
434;51947;6104;05/04/2020 09:11;PT-BR;46;Female;PhD/Doctorate;College degree;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;1;0;NA
435;51985;1090;05/04/2020 07:41;PT-BR;70;Female;College degree, bachelor, master;Some College or equivalent;Retired;Brazil;no;Rio de Janeiro;Divorced/widowed;0;Yes;Life carries on with minor changes;0;0;NA
436;52059;885;05/04/2020 07:27;PT-BR;43;Male;College degree, bachelor, master;Some College or equivalent;Student;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Isolated;1;1;NA
437;52070;2107;05/04/2020 07:46;PT-BR;33;Female;College degree, bachelor, master;Up to 6 years of school;Self-employed;Brazil;no;RJ;Married/cohabiting;1;Yes;Isolated;1;1;Além de meu trabalho autônomo (renda principal) haver sido muito afetada pela pandemia, possuo também um trabalho formal que complementava minha renda familiar. Acredito fortemente que haverá uma demissão em massa nesse ambiente que emprega mais de 30 profissionais, pois não haverá capacidade financeira de manter o funcionamento da instituição. E muitos desses colegas, não possuem outra fonte de renda familiar.
438;52514;863;05/04/2020 06:35;PT-BR;47;Female;College degree, bachelor, master;Up to 9 years of school;Self-employed;Brazil;no;Minas gerais;Married/cohabiting;2;Yes;Life carries on with minor changes;1;1;NA
439;52586;2189;05/04/2020 06:47;PT-BR;48;Female;College degree, bachelor, master;NA;Full time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;2;Yes;Isolated;2;1;Me mudei para a periferia da minha cidade. Me sinto mais segura quanto a infecção do COVID mas menos segura por conta de possibilidades de assaltos
440;52879;1015;05/04/2020 05:55;PT-BR;46;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Paraná;Married/cohabiting;3;Yes;Isolated;3;1;NA
441;52969;1109;06/04/2020 05:44;PT-BR;48;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;São paulo;Married/cohabiting;2;Yes;NA;3;0;NA
442;54578;1166;05/04/2020 02:08;PT-BR;37;Female;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;1;0;NA
443;54714;114;06/04/2020 01:33;PT-BR;34;Male;College degree, bachelor, master;College degree;Not employed;Brazil;no;RJ;Single;0;Yes;Isolated;2;0;NA
444;54908;1313;05/04/2020 01:26;PT-BR;48;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;yes;DF;Single;1;Yes;Isolated;2;2;NA
445;55350;760;05/04/2020 00:10;PT-BR;39;Male;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;1;0;NA
446;55568;2011;04/04/2020 23:56;PT-BR;31;Female;College degree, bachelor, master;College degree;Not employed;Brazil;no;Rio Grande do Sul;Married/cohabiting;2;Yes;Isolated;1;2;A falta de respeito e informação por parte do presidente do Brasil, perante a pandemia. E a confiança que seus eleitores fanáticos depositam nas ideias e indicações, de grande risco para a saúde pública, as quais ele faz.
447;55594;977;04/04/2020 23:35;PT-BR;47;Female;College degree, bachelor, master;PhD/Doctorate;Self-employed;Brazil;no;Rio de Janeiro;Divorced/widowed;1;Yes;Isolated;1;0;NA
448;55891;2767;04/04/2020 23:13;PT-BR;46;Female;PhD/Doctorate;College degree;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Isolated;2;1;Aprendi a cozinhar e me preocupo mais com o consumo dos alimentos e produtos de limpeza. A questão do abastecimento de alimentos e produtos de higiene básica  é uma angústia recorrente.
449;56248;832;04/04/2020 21:34;PT-BR;27;Female;College degree, bachelor, master;College degree;Not employed;Brazil;no;Rio de Janeiro;Single;0;No;Life carries on with minor changes;4;0;NA
450;56299;1395;04/04/2020 21:34;PT-BR;64;Female;College degree, bachelor, master;Some College or equivalent;Retired;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Life carries on with minor changes;1;0;NA
451;56402;129;05/04/2020 20:57;PT-BR;24;Female;College degree, bachelor, master;Up to 6 years of school;Student;Brazil;no;Rondônia;Single;0;Yes;Life carries on with minor changes;0;0;NA
452;56425;1863;04/04/2020 21:22;PT-BR;46;Female;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Life carries on with minor changes;1;0;Os maiores problemas, que estou aprendendo a lidar, são a distância de amigos e a convivência maçante com membros da família. Mas sem muito desespero, já que, com amigos fazemos reuniões on-line com frequência e com a família, cada um respeita o espaço do outro. Temos a vantagem de viver numa casa boa com um belo jardim...
453;56444;751;05/04/2020 21:01;PT-BR;26;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;0;0;NA
454;56452;6755;04/04/2020 22:40;PT-BR;45;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Self-employed;Brazil;no;NA;Other or would rather not say;0;Yes;Isolated;0;0;É horrível ter que passar por isso sem ter um presidente que seja capaz de lidar com uma crise (aliás, ele não é capaz de lidar com nada.  Pior ainda é saber que ele realmente NÃO SE IMPORTA.
455;56756;280;05/04/2020 20:04;PT-BR;30;Female;College degree, bachelor, master;None;Full time employed;Brazil;no;Rio de janeiro;Married/cohabiting;0;Yes;Isolated;NA;NA;NA
456;56883;1105;04/04/2020 19:58;PT-BR;32;Male;College degree, bachelor, master;Up to 6 years of school;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;3;Yes;Life carries on with minor changes;1;3;NA
457;56920;921;05/04/2020 19:49;PT-BR;49;Female;Some College, short continuing education or equivalent;Some College or equivalent;Self-employed;Brazil;no;Rio de Janeiro;Divorced/widowed;2;Yes;Life carries on with minor changes;1;1;NA
458;56923;3128;05/04/2020 20:25;PT-BR;70;Male;College degree, bachelor, master;Up to 9 years of school;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;2;0;NA
459;56976;1739;04/04/2020 19:54;PT-BR;52;Female;College degree, bachelor, master;Up to 6 years of school;Part time employed;Brazil;no;MS;Married/cohabiting;1;Yes;Life carries on with minor changes;1;0;NA
460;56990;1023;04/04/2020 19:40;PT-BR;43;Male;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Life carries on with minor changes;1;0;NA
461;56996;819;04/04/2020 19:36;PT-BR;46;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;Rio de Janeiro;Single;1;Yes;Isolated;2;0;NA
462;57008;175;05/04/2020 19:27;PT-BR;42;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;RJ;Married/cohabiting;2;Yes;Isolated;0;2;NA
463;57036;990;04/04/2020 19:32;PT-BR;26;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Not employed;Brazil;no;Maranhao;Single;0;Yes;Isolated;7;1;NA
464;57042;1557;04/04/2020 19:41;PT-BR;55;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Life carries on with minor changes;3;0;NA
465;57048;1203;04/04/2020 19:34;PT-BR;28;Male;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;SP;Single;0;Yes;Life carries on with minor changes;0;0;NA
466;57091;1147;04/04/2020 19:27;PT-BR;25;Male;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
467;57128;1380;04/04/2020 19:27;PT-BR;43;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Isolated;1;0;NA
468;57308;1256;05/04/2020 18:58;PT-BR;59;Female;College degree, bachelor, master;College degree;Part time employed;Brazil;no;MS;Single;1;Yes;Isolated;0;0;Meus estudos melhoraram, o cuidado com higiene e alimentação tbém, a limpeza da casa, filmes de qualidade, contato inesperado com tbém aconteceu
469;57346;1042;04/04/2020 18:50;PT-BR;54;Female;PhD/Doctorate;College degree;Full time employed;Brazil;no;Sc;Divorced/widowed;0;Yes;Isolated;4;0;NA
470;57356;1812;04/04/2020 19:02;PT-BR;24;Male;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
471;57413;1368;04/04/2020 18:48;PT-BR;39;Male;College degree, bachelor, master;Up to 6 years of school;Self-employed;Brazil;no;Rio de Janeiro;Single;0;No;Life carries on with minor changes;1;0;NA
472;57518;693;04/04/2020 18:26;PT-BR;22;Male;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de janeiro;Single;0;Yes;Isolated;2;0;NA
473;57619;808;04/04/2020 18:15;PT-BR;38;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;São Paulo;Divorced/widowed;1;Yes;Isolated;1;1;NA
474;57737;1092;04/04/2020 18:06;PT-BR;25;Male;College degree, bachelor, master;College degree;Student;Brazil;no;São Paulo;Single;0;Yes;Life carries on with minor changes;0;0;NA
475;57791;811;04/04/2020 17:55;PT-BR;58;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;São Paulo;Single;0;Yes;Isolated;0;0;NA
476;57945;736;04/04/2020 17:38;PT-BR;52;Female;PhD/Doctorate;College degree;Full time employed;Brazil;no;São Paulo;Married/cohabiting;1;Yes;Isolated;3;0;NA
477;58228;765;04/04/2020 17:15;PT-BR;21;Male;Some College, short continuing education or equivalent;Some College or equivalent;Part time employed;Brazil;no;RJ;Single;0;Yes;Isolated;2;0;Que
478;58536;1279;05/04/2020 16:16;EN;26;Female;College degree, bachelor, master;Up to 12 years of school;Not employed;Brazil;no;Rio de Janeiro;Married/cohabiting;3;Yes;Isolated;1;0;NA
479;58619;850;04/04/2020 15:45;PT-BR;27;Female;College degree, bachelor, master;None;Not employed;Brazil;no;RJ;Single;0;Yes;Isolated;3;0;NA
480;58707;1658;04/04/2020 15:29;PT-BR;26;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
481;58920;2139;05/04/2020 14:57;PT-BR;26;Female;Some College, short continuing education or equivalent;Some College or equivalent;Self-employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;1;0;Meu nível de ansiedade subiu muito ao ter que sair de casa por me sentir exposta ao vírus. Ir ao mercado ou pegar uber tornou-se um grande pesadelo. Fico com taquicardia e falta de ar toda vez que preciso utilizar essas atividades.  Também passei a lavar roupa todos os dias.
482;59212;1715;05/04/2020 13:56;PT-BR;20;Female;Some College, short continuing education or equivalent;None;Student;Brazil;no;Ceará;Single;0;Yes;Isolated;3;0;NA
483;59538;993;05/04/2020 12:41;PT-BR;19;Female;College degree, bachelor, master;College degree;Student;Brazil;no;rio de janeiro;Single;0;Yes;Isolated;2;0;NA
484;59649;1635;04/04/2020 12:32;PT-BR;36;Male;College degree, bachelor, master;Some College or equivalent;Part time employed;Brazil;no;Ceará;Married/cohabiting;2;Yes;Isolated;2;1;NA
485;59727;600;04/04/2020 11:58;PT-BR;22;Male;Some College, short continuing education or equivalent;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;1;0;NA
486;59861;164;05/04/2020 11:21;PT-BR;27;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;São Paulo;Single;0;Yes;Isolated;3;0;NA
487;59882;655;04/04/2020 11:25;FR;20;Female;College degree, bachelor, master;Some College or equivalent;Student;Brazil;yes;Boulogne-Billancourt;Single;1;Yes;Isolated;3;0;NA
488;59923;1038;04/04/2020 11:21;PT-BR;23;Male;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;1;0;NA
489;59935;741;04/04/2020 11:14;PT-BR;33;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;2;0;NA
490;59938;835;04/04/2020 11:14;PT-BR;20;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;RIO DE JANEIRO;Single;0;No;Life carries on with minor changes;3;1;NA
491;59941;1192;05/04/2020 11:21;PT-BR;36;Male;PhD/Doctorate;Up to 6 years of school;Full time employed;Brazil;no;Sao Paulo;Single;0;Yes;Isolated;0;0;NA
492;59962;1347;04/04/2020 11:18;PT-BR;29;Male;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
493;59965;992;04/04/2020 11:12;PT-BR;20;Female;Some College, short continuing education or equivalent;Up to 9 years of school;Student;Brazil;no;Rio de Janeiro;Single;0;No;Isolated;1;0;NA
494;61046;803;04/04/2020 07:51;PT-BR;47;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;2;1;Medo das consequências para o ano escolar do meu filho.
495;61241;830;04/04/2020 07:12;PT-BR;21;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;PB;Other or would rather not say;0;Yes;Isolated;2;1;NA
496;61402;1444;04/04/2020 06:56;PT-BR;45;Female;College degree, bachelor, master;College degree;Not employed;Brazil;no;Rio de Janeiro;Divorced/widowed;2;Yes;Isolated;0;1;Fora Bolsonaro!
497;64493;2614;03/04/2020 20:45;HR;45;Male;PhD/Doctorate;College degree;Full time employed;Brazil;yes;Sao Paulo;Married/cohabiting;0;Not sure;Life carries on with minor changes;1;0;NA
498;64531;761;04/04/2020 19:57;PT-BR;23;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
499;65631;1362;03/04/2020 14:32;DE;70;Male;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;yes;Südamerika;Married/cohabiting;2;Yes;Isolated;1;0;NA
500;67054;1822;03/04/2020 11:45;PT-BR;44;Male;PhD/Doctorate;Up to 12 years of school;Self-employed;Brazil;no;RJ;Single;1;Yes;Isolated;3;0;NA
501;67782;183;04/04/2020 09:53;PT-BR;21;Female;Some College, short continuing education or equivalent;College degree;Full time employed;Brazil;no;rio de janeiro;Single;0;Yes;Life carries on with minor changes;NA;1;NA
502;68190;1100;03/04/2020 09:22;PT-BR;19;Male;Some College, short continuing education or equivalent;College degree;Full time employed;Brazil;no;Rio de Janeiro;Single;2;Yes;Life carries on with minor changes;2;0;Me sinto mais depressivo por estar sozinho e não ter com quem conversar e a falta de uma namorada ou algo assim ou amizades influência na minha depressão
503;69510;1567;04/04/2020 07:23;PT-BR;25;Male;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;NA
504;73067;262;04/04/2020 01:58;FR;34;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;yes;NA;Married/cohabiting;1;No;NA;1;1;NA
505;73547;1213;03/04/2020 22:07;PT-BR;36;Female;College degree, bachelor, master;College degree;Not employed;Brazil;no;Pernambuco;Single;1;Yes;Isolated;1;1;NA
506;73657;1028;02/04/2020 21:01;PT-BR;26;Female;PhD/Doctorate;PhD/Doctorate;Student;Brazil;no;Rio de janeiro;Single;0;Yes;Isolated;2;0;NA
507;73694;1048;02/04/2020 20:34;PT-BR;22;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Minas Gerais;Single;0;Yes;Isolated;3;0;NA
508;73710;1929;02/04/2020 20:40;PT-BR;35;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;MG;Single;0;Yes;Isolated;1;0;NA
509;73755;127;03/04/2020 19:50;PT-BR;22;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;RJ;Single;0;Yes;Isolated;4;0;NA
510;73760;885;02/04/2020 20:01;PT-BR;24;Male;Some College, short continuing education or equivalent;Some College or equivalent;Not employed;Brazil;no;PARAÍBA;Single;0;Yes;Isolated;2;2;NA
511;73774;1779;02/04/2020 20:10;PT-BR;28;Male;College degree, bachelor, master;College degree;Student;Brazil;no;RJ;Single;0;Yes;Life carries on with minor changes;0;0;Fora Bolsonaro! O genocída vai contra a OMS e as decisões até do seu próprio ministro da saúde.
512;73780;768;02/04/2020 19:51;PT-BR;26;Female;College degree, bachelor, master;PhD/Doctorate;Full time employed;Brazil;no;Rio de janeiro;NA;0;Yes;Isolated;1;0;NA
513;73781;867;03/04/2020 19:53;PT-BR;55;Female;College degree, bachelor, master;Up to 6 years of school;Self-employed;Brazil;no;Goiás;Single;2;No;Life carries on with minor changes;4;0;NA
514;73782;1017;02/04/2020 19:54;PT-BR;26;Male;PhD/Doctorate;College degree;Student;Brazil;no;RJ;Single;0;Yes;Isolated;5;0;NA
515;73785;1511;02/04/2020 20:02;PT-BR;31;Female;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;no;RJ;Single;0;Yes;Isolated;2;0;NA
516;73792;1694;03/04/2020 19:59;PT-BR;34;Female;PhD/Doctorate;College degree;Part time employed;Brazil;no;Minas Gerais;Single;0;Yes;Isolated;0;0;Eu tenho transtorno de ansiedade generalizada com depressão e no momento estou bem medicada, o que ajuda muito a lidar com a situação. Também faço terapia há mais de 5 anos sem parar, de forma que tenho um bom conhecimento sobre mim mesma e trabalhei muito sobre come lidar com o medo. Práticas de meditação e a filosofia budista e hinduísta também melhoram meu bem estar.
517;73915;2018;02/04/2020 19:06;PT-BR;62;Male;College degree, bachelor, master;Some College or equivalent;Retired;Brazil;no;Rio de Janeiro;Married/cohabiting;3;Yes;Isolated;5;0;NA
518;74529;1519;03/04/2020 15:32;PT-BR;36;Male;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Life carries on with minor changes;3;1;NA
519;74553;1027;02/04/2020 15:17;PT-BR;68;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;RJ;Married/cohabiting;NA;Yes;Isolated;0;0;NA
520;74660;5110;03/04/2020 16:01;PT-BR;49;Female;College degree, bachelor, master;College degree;Part time employed;Brazil;no;Bahia;Divorced/widowed;2;Yes;Isolated;2;0;o futuro incerto do país
521;75239;1114;02/04/2020 13:33;EN;31;Female;College degree, bachelor, master;Up to 12 years of school;Student;Brazil;no;São Paulo;Married/cohabiting;0;Yes;Isolated;2;0;NA
522;75298;718;02/04/2020 13:17;PT-BR;36;Female;College degree, bachelor, master;None;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Life carries on with minor changes;1;0;NA
523;75317;1425;02/04/2020 13:27;PT;43;Female;PhD/Doctorate;Up to 9 years of school;Full time employed;Brazil;no;Rio Branco /Acre;Married/cohabiting;0;Yes;Isolated;1;0;Aumentou a minha preocupação com a população mais vulnerável no meu país e dos países mais pobres.  As desigualdades sociais dentro das nações e entre nações ficaram mais visíveis e nem assim os mais ricos, os bilionários ajudam os mais necessitados. Agora existe uma batalha que exige união entre as nações e o que vemos é um egoísmos de países como o EUA.
524;75322;1310;02/04/2020 13:23;PT-BR;39;Male;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Life carries on with minor changes;1;1;NA
525;75678;2135;02/04/2020 12:37;PT-BR;44;Female;PhD/Doctorate;College degree;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;1;0;NA
526;76289;770;03/04/2020 10:47;PT-BR;45;Female;College degree, bachelor, master;Up to 6 years of school;Full time employed;Brazil;no;Ba;Married/cohabiting;3;Yes;Life carries on with minor changes;1;3;NA
527;76574;558;03/04/2020 10:07;PT-BR;32;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;1;0;NA
528;76577;3899;02/04/2020 11:02;PT-BR;23;Female;Some College, short continuing education or equivalent;PhD/Doctorate;Student;Brazil;no;RIO DE JANEIRO;Single;0;Yes;Isolated;3;0;algo que impactou o meu bem estar foi não poder sair de casa, pois a minha rotina de sono mudou drasticamente. Ando dormindo tarde e acordando tarde, e isso impacta na minha rotina de estudos. Outra coisa que me impactou foi o fato de não poder ir a biblioteca estudar, pois eu não tenho a disciplina necessária para ter uma rotina de estudos em casa, são muitas distrações. Os meus estudos são a principal fonte de estresse para mim, já que eu não trabalho e não preciso ganhar renda, e agora que eu estou tendo que mudar a minha rotina de repente, se tornou mais estressante ainda.
529;76879;230;03/04/2020 09:08;PT-BR;21;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;RJ;Single;0;Yes;Isolated;3;0;NA
530;76911;365;03/04/2020 09:03;PT-BR;32;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;SP;Single;0;Yes;Isolated;2;0;NA
531;76936;979;02/04/2020 09:07;PT-BR;19;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;RJ;Single;0;Yes;Isolated;3;0;NA
532;76975;1415;02/04/2020 09:08;PT-BR;24;Other/would rather not say;Some College, short continuing education or equivalent;College degree;Self-employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;1;NA
533;77061;1212;02/04/2020 08:49;PT-BR;23;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
534;77112;258;03/04/2020 08:24;PT-BR;25;Male;Some College, short continuing education or equivalent;Some College or equivalent;Part time employed;Brazil;no;Rio de Janeiro;Single;3;No;Life carries on with minor changes;2;0;NA
535;77187;1081;02/04/2020 08:25;PT-BR;24;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;Rio de Janeiro (RJ);Single;0;Yes;Isolated;1;0;A ausência da liberação de profissionais do meu prédio. O demônio do presidente da República jair bolsonaro.
536;77380;5647;02/04/2020 09:04;PT;29;Male;PhD/Doctorate;Up to 12 years of school;Self-employed;Brazil;no;Aracaju - Sergipe - Nordeste;Single;0;Yes;Isolated;2;0;NA
537;77615;268;03/04/2020 06:52;PT;31;Female;PhD/Doctorate;Some College or equivalent;Student;Brazil;no;NA;Married/cohabiting;1;Yes;Isolated;1;1;NA
